stop_id,station_name,station_latitude,station_longitude,daily_passenger_volume,annual_passenger_count,year,train_line_name
20015,Croxton,-37.764101,144.9970562,900,281250,FY19-20,Mernda
20016,Northcote,-37.76986537,144.9952772,1000,308200,FY19-20,Mernda
20017,Merri,-37.77784668,144.9929725,500,153450,FY19-20,Mernda
20019,Rushall,-37.78321711,144.9924071,400,124600,FY19-20,Mernda
20021,Sunshine,-37.78853633,144.8328782,5700,1753250,FY19-20,Sunbury
20022,Tottenham,-37.7992509,144.8629449,1450,442450,FY19-20,Sunbury
20023,West Footscray,-37.8018087,144.8853248,1700,515950,FY19-20,Sunbury
20024,Middle Footscray,-37.8025047,144.8914721,600,191600,FY19-20,Sunbury
20025,Footscray,-37.80108298,144.9031992,13350,4038750,FY19-20,"Werribee, Williamstown, Sunbury"
20026,South Kensington,-37.79953087,144.925469,1050,304750,FY19-20,"Werribee, Williamstown, Sunbury"
20027,Flemington Racecourse,-37.78720192,144.9075887,100,154650,FY19-20,Flemington Racecourse
20028,Showgrounds,-37.7835,144.915,300,143150,FY19-20,Flemington Racecourse
20030,Broadmeadows,-37.68304926,144.9196132,2600,810850,FY19-20,Craigieburn
20031,Jacana,-37.69513079,144.9158505,700,221650,FY19-20,Craigieburn
20032,Glenroy,-37.70453633,144.9172204,3350,1037400,FY19-20,Craigieburn
20033,Oak Park,-37.71794973,144.9215188,1600,479050,FY19-20,Craigieburn
20034,Pascoe Vale,-37.73075596,144.9281956,1800,545050,FY19-20,Craigieburn
20035,Strathmore,-37.74359132,144.9273157,1100,318600,FY19-20,Craigieburn
20036,Glenbervie,-37.74720985,144.9209387,1050,301950,FY19-20,Craigieburn
20037,Essendon,-37.7560117,144.9161975,4300,1298700,FY19-20,Craigieburn
20038,Moonee Ponds,-37.76570666,144.9191607,2550,776300,FY19-20,Craigieburn
20039,Ascot Vale,-37.77530609,144.9218207,1650,488800,FY19-20,Craigieburn
20040,Newmarket,-37.78732767,144.9289785,2200,675600,FY19-20,Craigieburn
20041,Kensington,-37.79378022,144.9305244,1350,424600,FY19-20,Craigieburn
20042,Box Hill,-37.81922165,145.1214289,9050,2775200,FY19-20,"Belgrave, Lilydale"
40220,Roxburgh Park,-37.63823121,144.9354037,1650,488650,FY19-20,Craigieburn
40221,Craigieburn,-37.6018169,144.9433203,3700,1126250,FY19-20,Craigieburn
44817,Coolaroo,-37.66100253,144.9260556,950,274750,FY19-20,Craigieburn
45793,Lynbrook,-38.05734118,145.2492751,1250,352250,FY19-20,Cranbourne
45794,Cardinia Road,-38.07129047,145.437791,1250,355850,FY19-20,Pakenham
45795,South Morang,-37.6491588,145.0670324,1850,554250,FY19-20,Mernda
46468,Williams Landing,-37.86986533,144.7474447,5100,1419700,FY19-20,Werribee
52095,Southland,-37.958758,145.049124,1300,441650,FY19-20,Frankston
52159,Middle Gorge,-37.644062,145.09214,650,184700,FY19-20,Mernda
52160,Hawkstowe,-37.622992,145.097396,650,181900,FY19-20,Mernda
52161,Mernda,-37.602549,145.100883,1800,527250,FY19-20,Mernda
19841,Flagstaff,-37.81198131,144.9556538,14600,3883350,FY19-20,"Hurstbridge, Mernda, Craigieburn, Upfield, Frankston, Werribee, Williamstown, Sunbury, Cranbourne, Pakenham"
19842,Melbourne Central,-37.80993877,144.9625935,36300,10865600,FY19-20,"Hurstbridge, Mernda, Craigieburn, Upfield, Frankston, Werribee, Williamstown, Sunbury, Cranbourne, Pakenham"
19843,Parliament,-37.81105406,144.9729109,28300,7646300,FY19-20,"Hurstbridge, Mernda, Craigieburn, Upfield, Frankston, Werribee, Williamstown, Sunbury, Cranbourne, Pakenham"
19854,Flinders Street,-37.81830513,144.9669643,70500,21503500,FY19-20,"Alamein, Belgrave, Lilydale, Glen Waverley, Hurstbridge, Mernda, Craigieburn, Upfield, Frankston, Werribee, Williamstown, Sandringham, Sunbury, Cranbourne, Pakenham, Flemington Racecourse"
19908,Richmond,-37.82407446,144.9901643,8600,2965500,FY19-20,"Alamein, Belgrave, Lilydale, Glen Waverley, Frankston, Sandringham, Cranbourne, Pakenham"
19973,North Melbourne,-37.80630984,144.9415102,3800,1183050,FY19-20,"Craigieburn, Upfield, Werribee, Williamstown, Sunbury, Flemington Racecourse"
19979,Jolimont,-37.81652702,144.9840983,2000,787850,FY19-20,"Hurstbridge, Mernda"
22180,Southern Cross,-37.81793643,144.9514112,52450,14895400,FY19-20,"Hurstbridge, Mernda, Craigieburn, Upfield, Frankston, Werribee, Williamstown, Sunbury, Cranbourne, Pakenham, Flemington Racecourse"
